fromTab,toTab,perceivedLoadMs,apiCallsCount,heavyCalls,warnings,status
START,Home,8000,4,"singleplayer-state 0.48s; season/standings-overview 0.63s; season/management-overview 1.84s","No loading-id calls; no XP/Market/History on start; Home still needs real season/management data","ok"
Home,Einsatzliste,6645,4,"lab-context 1.1s + 2.3s; lineup preview 0.9s + 0.7s","Duplicate lab-context/preview seen in baseline; fixed with in-flight dedupe/embedded-load guard","fixed"
Einsatzliste,Arena,6619,4,"standings/preview 0.42s; lab-context repeated 1.1s + 2.1s; matchday-mvp-score 1.06s","Arena showed 'Kontext laden' after wait; old lineup requests leaked during navigation","needs-follow-up"
Arena,Teams,22005,8,"resolve preview 12.1s; standings preview 12.5s; repeated resolve/standings around 11.5s/11.8s","Slowest transition; heavy arena requests continued while moving to Teams","needs-follow-up"
Teams,Training,12482,3,"season-end-xp-spend 0.33s; player portraits 0.04s","Training content plausible; negative development shown; still render-heavy","ok"
Training,Transfermarkt,13230,6,"free-agents 3.2s; state reload 2.4s; prize 1.6s; management 2.5s","Live-refresh burst loaded unrelated feeds; fixed with active-tab scoped reload","fixed"
Transfermarkt,Transferhistorie,9600,8,"late free-agents 1.16s; recap 1.12s; history 1.77s; portraits","Market request completed after leaving tab; abort/cancel remains next improvement","needs-follow-up"
Transferhistorie,Saisonstand,10482,25,"standings/preview 0.37s; many team logos","Saisonstand usable but heavy visible table/logo area","ok-heavy"
Saisonstand,Ranks,7516,5,"state 0.26s; standings 0.97s; standings-preview 1.47s; prize 1.55s; management 2.5s","Live-refresh burst loaded unrelated feeds; fixed with active-tab scoped reload","fixed"
Ranks,Diszis,7120,0,"none beyond version polling","Diszis stable, table-heavy but no wrong API burst","ok"
